date,gallons,water%,color,,,,,,
2/3/2017,15.9,17.9,85,,,,,,
12/16/2016,3,17.1,75,,,,,,
12/9/2016,8,17.4,55,,,,,,
11/13/2016,8.67,17.7,67,,,,,,
10/21/2016,5.1,17.5,55,,,,,,
10/21/2016,1.1,15.7,60,,,,,,
10/21/2016,4.2,17.5,85,,,,,,
10/21/2016,2.75,17.1,55,,,,,,
10/11/2016,0.3149,17.7,67,,,,,,
9/4/2016,2.83,17.4,35,,,,,,
8/17/2016,1.5,19.1,30,,,,,,
8/11/2016,1.5,18.9,50,,,,,,
8/2/2016,4.5,20.1,35,,,,,,
7/11/2016,4.5,20.1,35,,,,,,
7/5/2016,9,21.2,35,,,,,,
6/27/2016,4.75,18.3,55,,,,,,
6/1/2016,0.67,18.7,120,,,,,,
3/22/2016,2,17.6,65,,,,,,
12/4/2015,5,18.1,60,,,,,,
11/1/2015,5,18.8,60,,,,,,
7/5/2016,9,21.2,35,,,,,,
6/27/2016,4.75,18.3,55,,,,,,
6/1/2016,0.67,18.7,120,,,,,,
3/22/2016,2,17.6,65,,,,,,
12/4/2015,5,18.1,60,,,,,,
11/1/2015,5,18.8,60,,,,,,
